,ASI,ASJ,AWA,ASG,AWB,ASE,ADF,AFD,AWC,ASK,ASH,ADL,BAG,URX,ALN,PLN,SDQ,AQR,PQR,ALM,AVM,PVM,PLM,FLP,DVA,PVD,ADE,PDE,PHA,PHB,PHC,IL2,CEP,URY,OLL,OLQ,IL1,AIN,AIM,RIH,URB,RIR,AIY,AIA,AUA,AIZ,RIS,PVQ,ADA,RIF,BDU,PVR,AVF,AVH,PVP,LUA,PVN,AVG,DVB,RIB,RIG,RMG,AIB,RIC,SAA,AVK,DVC,AVJ,PVT,AVD,AVL,PVW,RIA,RIM,AVE,RMF,RID,AVB,AVA,PVC,RIP,URA,RME,RMD,RIV,RMH,SAB,SMD,SMB,SIB,SIA,MNVC,MUBODY,MUHEAD,CEPsh,GLR,CAN,exc_cell,exc_gl,gonad,hmc,hyp,int,mu_anal,mu_int,mu_sph,CEM,MCM,EFn,MALE
CEP,,,,,,,,,1,,,,,11,,,,,,,,,,,,,,,,,,6,,,26,98,49,,,1,,,,,,,,,,,,5,,,,,,,,4,,1,,138,,,,,,,,,,,39,,,,2,,19,45,,16,4,46,,11,5,,37,,,,1,,,,,,,,,,,,1,1,,
URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
OLL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,10,,,,,,,,,,,,,,,,,,,,,,,32,2,,,,,,,,,,,,,,70,,,,,,,,1,78,,,,64,,,,,,,,,,,,,,,,,,,,,,
OLQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,1,,,8,13,,,1,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,1,,,,,,,,5,,5,82,,1,,,5,69,,,,,,,,,,,,,,,,,,,,
IL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,11,3,,3,,,,,,,,,,3,,,,,,,,106,,1,279,,11,,2,,,,,,,,,,,,,,,,,,,,,,
AIN,,,,,,,,24,,,,,8,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,3,8,1,,,,,,,,,,,,,,,,3,,9,,,,,,,,,,24,,1,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,4,,,
AIM,,1,,7,,,,,,13,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,66,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIH,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,12,38,,,94,2,,,2,,,6,,2,33,1,,,,,,,,,,,,,24,,,,,,,,,,,,,70,,1,,,,,,50,1,14,,,,,8,,,,,,,3,,,,,,,,,,,,2,,,
URB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,
RIR,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,16,,,,,,,,,,,,,,,2,,,,,,,,,,,,19,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIY,,,3,,8,1,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,10,4,311,,,,,,,,,,,,,,259,,,,,,,,,,,,,294,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,2,,,
AIA,,,,5,,4,,,25,2,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,6,26,,,,,,27,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUA,,,,,,,20,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,87,,5,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ,,,10,,,,10,,,,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,18,,8,,,,,,,,,,,,,,,,,99,,,3,,,,,,,91,38,66,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,
RIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,4,,,,,,,,,,,,,28,,,,,,42,,,,,2,,,43,43,,,,,,,,15,7,,,,5,1,,,,,,,,,,,,,,,,,,,,,
ALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVQ,,,,,,,,,,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,26,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,4,23,2
ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,4,19,,8,2,1,,2,3,,,2,,13,11,,3,,10,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
RIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,5,1,,,,,,,,,3,,,,,,,,,,,41,3,,,87,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,21,11,
