,ASI,ASJ,AWA,ASG,AWB,ASE,ADF,AFD,AWC,ASK,ASH,ADL,BAG,URX,ALN,PLN,SDQ,AQR,PQR,ALM,AVM,PVM,PLM,FLP,DVA,PVD,ADE,PDE,PHA,PHB,PHC,IL2,CEP,URY,OLL,OLQ,IL1,AIN,AIM,RIH,URB,RIR,AIY,AIA,AUA,AIZ,RIS,ALA,PVQ,ADA,RIF,BDU,PVR,AVF,AVH,PVP,LUA,PVN,AVG,DVB,RIB,RIG,RMG,AIB,RIC,SAA,AVK,DVC,AVJ,PVT,AVD,AVL,PVW,RIA,RIM,AVE,RMF,RID,AVB,AVA,PVC,RIP,URA,RME,RMD,RIV,RMH,SAB,SMD,SMB,SIB,SIA,MNVC,MUHEAD,MUBODY,CEPsh,GLR,CAN,exc_cell,exc_gl,hmc,hyp,int,mu_int,mu_anal,mu_sph,HSN,VC,um,vm
AIM,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,
RIH,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URB,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,8,,,,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
RIR,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIY,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,6,1,4,3,1,,4,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUA,,,,,7,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ,,,6,4,,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,36,,,,,,,,,,,,,,,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,15,,,,,,4,3,,,,,,,,1,1,,,,9,,,,,,,,,,,,,,,,,,,,,
ALA,,2,,,,,,,,1,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,,,,,,,,,,,,,,,,,,,,802,100,1,,,,,,,2,,,
PVQ,,6,,,,1,,,,33,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,92,6,,,,7,5,8,,,,1,,,,,,,2,7,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,
ADA,,,,,,,9,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,
BDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
PVR,,,,,,,,,,,,,,,16,,,,,6,4,1,18,,15,,,17,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,15,5,,,,,,,,,,,,,,,2,,,,,,,,19,,,,,,,,,,,,33,,,,,,,,,12,,,,,,,,
AVF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,62,27,5,,1,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,,,,,,11,,,,,,4,,
AVH,,,,,,,,,,18,2,,,,,,,,,,,,,,,,,,3,15,,,,,,,,,,,,,,,,,,,5,,,,,27,30,13,1,1,4,,,,,,,,,4,11,,2,,,,,,,,,,,,,,,,,,,,,1,51,,,,,,,,,46,,,,,,,,
PVP,,,,,,,,,,,,,,,,,,102,26,,,,,,1,,,,22,1,,,,,,,,,,,,,,,,,,,8,,,,,5,13,5,,4,3,8,,2,3,2,,,31,54,1,31,,9,1,,,1,,,,3,,,,,,,,,,,,,65,,2,,,,,,,51,,,,,2,1,,
LUA,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,1,,,5,,,,,,,,,,,7,4,,,6,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVN,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1,4,5,4,,,,,,,,,,1,11,5,3,,6,,,,,,14,1,2,,,,,,,,,,,,1,,,,,,,,,2,,,,,4,,,
AVG,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,,1,,,,,,,,,,,,,,,,,,,,3,,,1,4,3,,,,,,,,,,,,12,1,4,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,6,,,,,,,,
DVB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,8,,,,2,,,,,,,,15,,3,,14,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,
RIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,38,5,,,,,,,,,,,,1,,,,,14,,,,,2,,,,,9,2,15,8,,,,,,,,,,,,,,,,,,
RIG,,,,,,,,,,,,,3,,,,,3,,,,,,,,,1,,,,,,,10,8,15,,,,,,,,,,1,,,,,,,,,,2,,,,,5,162,,6,,,5,,,,,,,,,,2,,,,,,,2,,,,,,,,,5,,,,,,,,,,,,,,,,,
RMG,,,,,2,,,,,1,6,3,,8,1,,,,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,1,,,1,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,11,,,3,,,,,,,,,,,,,,,,,,,,
AIB,,,,,,,,4,,4,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,7,4,,,,,,,,,2,,,,,,6,,,1,,,11,,1,,,,,3,,,,,,,,,2,,4,,,3,,,2,,,,,,,,,,,,,,,,,,
RIC,,,,,4,,,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
SAA,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,2,,,1,,,,,14,3,,,12,39,,,1,,,,,,,,,,,,,,,,,
AVK,,,,,,,,,,,,,,,,,,9,,,,1,,,18,,4,2,,,,,,,,,,,3,,,,1,,,,,,2,,,,,,,31,,,,,,5,,,6,,18,,,6,,3,,,1,1,,,,,,,,,,,,,,28,,,4,,,,,,,,,35,,,,,,,,
DVC,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,4,54,,1,12,15,,,,11,,,,,,11,,22,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,2,,,,,,2,,
AVJ,,,,,,,,,,,,,,,,,,,7,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,15,,,,1,,,,11,1,7,11,1,,,,,,,,,,20,1,7,,8,,,,,,,14,26,,,,,,,,,,,,2,,,,,,,,,6,,,,,,,,
PVT,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,31,4,5,4,3,,,,1,,,6,11,1,,1,6,2,,,,,,,2,4,,1,1,,,,,,,,,27,,,,,,,,,1,,,,,,6,,
AVD,,,,,,,,,,,,2,,,,,,,5,2,8,,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,2,,,3,,,,,,,,,,,7,1,12,,1,,,,,,,33,2,,,,,,,,,,1,1,1,,,,,,,,,3,,,,,,,,
AVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,14,,,,,,,3,22,,6,,,3,,,1,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,
PVW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,1,6,6,,,,,,,,,,,8,2,1,3,4,,,,,,,2,24,,,,,,,,,,,,3,,,,,,,,,10,,,,,,,,
RIA,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,6,,,2,,,,,,,,,,,,,,,,,,
RIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,4,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,37,3,,,21,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,
AVE,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,1,,,,,1,,,,,,,2,,,,1,,,,,1,,,37,10,,,,4,,,,2,17,,,,2,,,,4,,,,,,,,,2,,,,,,,,
RMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,,7,,,,,,,,,4,,,,,,,,
AVB,,,,,,,,,,,,,,,,,1,3,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,14,,,,,,,,,,,,,,,,,9,36,3,,,,,,,,,,,7,,160,,,,,,,,,5,,,,,,,,
AVA,,,,,,,,,,,2,,,,,,,,17,,,,6,,,10,,,,1,5,,,10,,,,,,,,,,,,,,,,,,,,,,3,8,1,,,,,,,,1,,,14,2,33,,2,,21,4,,,3,36,52,,,,3,,,32,,,1,,210,,,,,,,,,7,,,,,,,,
PVC,,,,,,,,,,,,,,,,,,,2,,,,12,,4,3,,5,,3,5,,,,,,,,,,,,,,,,,,,,,,19,1,,,1,2,,,,,,,,,,,26,4,2,,24,,,,,,,52,134,,,,,,,,,,3,,78,,,,,,,,,7,,,,,,,,
RIP,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,6,,,,,,,,,,,,,10,,,,,,,,,,,,,
URA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RME,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,9,,,,,,,,,,1,,,,,,,,,,,,,,2,2,,2,,,,,,1,,,,,,2,,,,,,6,,22,1,,,,1,,,,,,,6,101,,,,,,,,,,,,,
RMD,,,,,,,,1,,,,,,,,,,,,2,,,,,,,1,,,,,2,,,,8,2,,,,,,,,2,,1,,,,,,,,,,,,,,,,1,,,14,,,,,,,,2,1,17,,,,3,,,,1,22,,,,19,,5,4,,,,,,,,,,,,,,,,,,
RIV,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,,56,,,10,,1,,,,,,,,,,,,,,,,,,,
RMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,
SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,
SMD,,1,,2,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,9,,,3,,12,,,,,,,,6,,2,,,,,,,,1,19,10,1,,2,1,3,1,11,,,,,,,,,1,,,,,,,,
SMB,,,,,,,1,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,2,,3,,,39,28,,,,,,,,,,,,,,,,,,,,,,1,4,8,5,,,,,,,,,,,,,,,,,,
SIB,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,1,,,,,,,,7,1,3,,,,5,1,3,,3,8,38,4,,,,,,,,,,,,,,,,,,
SIA,,,,,,,,,,,,,,,,,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,8,,,2,,,,,,,1,,,2,2,,,,,,,,,,4,,,,1,5,4,,,,,,,,,,,,,,,,,,,
MNVC,,,,,,,,,,,,,,,,2,,,,,,3,,29,12,6,,19,1,,8,,,,,,,,,,,,,,,,,,2,,3,,33,6,51,65,,1,2,17,,5,,,,1,4,5,2,27,1,43,3,,,4,,7,160,210,78,,,,,,,19,11,,,,777,,7,,,,,,,64,,,,,1,7,,
MUHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,60,14,51,,,,605,,,,,,,,,
MUBODY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,60,1894,,,,,,528,,,,,,,,,
CEPsh,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,14,,,,,,,,,,,,,,,,
GLR,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,101,,,,,,,,,,51,,,,,,,,,,,,,,,,
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,
exc_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,
exc_gl,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,
hmc,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605,528,,,,,118,,,,,,,,,,
